size,algo,modelingtime,encdatabasetime,encqueriestime,buildtime,querytime,experiment,nprobe,recall
100M,lmi,997.249121427536,1908.862194776535,0.04674983024597168,6697.152039527893,24.543598175048828,t3,6,0.5401033333333334
100M,lmi,997.249121427536,1908.862194776535,0.04674983024597168,6697.152039527893,67.28436255455017,t3,18,0.56342
100M,lmi,997.249121427536,1908.862194776535,0.04674983024597168,6697.152039527893,87.88065934181213,t3,24,0.5665333333333333
100M,lmi,997.249121427536,1908.862194776535,0.04674983024597168,6697.152039527893,77.17590713500977,t3,20,0.5646733333333334
100M,lmi,997.249121427536,1908.862194776535,0.04674983024597168,6697.152039527893,48.07330942153931,t3,12,0.5575533333333333
100M,lmi,997.249121427536,1908.862194776535,0.04674983024597168,6697.152039527893,49.85990285873413,t3,13,0.5586633333333333
100M,lmi,997.249121427536,1908.862194776535,0.04674983024597168,6697.152039527893,70.318363904953,t3,19,0.5640633333333334
100M,lmi,997.249121427536,1908.862194776535,0.04674983024597168,6697.152039527893,81.83870816230774,t3,22,0.5657233333333334
100M,lmi,997.249121427536,1908.862194776535,0.04674983024597168,6697.152039527893,38.59694957733154,t3,10,0.5540366666666666
100M,lmi,997.249121427536,1908.862194776535,0.04674983024597168,6697.152039527893,56.93028903007507,t3,15,0.5608833333333333
100M,lmi,997.249121427536,1908.862194776535,0.04674983024597168,6697.152039527893,85.61402225494385,t3,23,0.5661866666666666
100M,lmi,997.249121427536,1908.862194776535,0.04674983024597168,6697.152039527893,34.3582603931427,t3,9,0.5520766666666667
100M,lmi,997.249121427536,1908.862194776535,0.04674983024597168,6697.152039527893,63.71355319023132,t3,17,0.5627366666666667
100M,lmi,997.249121427536,1908.862194776535,0.04674983024597168,6697.152039527893,13.584586381912231,t3,3,0.5053066666666667
100M,lmi,997.249121427536,1908.862194776535,0.04674983024597168,6697.152039527893,55.28569531440735,t3,14,0.5599433333333333
100M,lmi,997.249121427536,1908.862194776535,0.04674983024597168,6697.152039527893,59.79073905944824,t3,16,0.5619166666666666
100M,lmi,997.249121427536,1908.862194776535,0.04674983024597168,6697.152039527893,98.2733325958252,t3,27,0.5674433333333333
100M,lmi,997.249121427536,1908.862194776535,0.04674983024597168,6697.152039527893,31.54702925682068,t3,8,0.5489
100M,lmi,997.249121427536,1908.862194776535,0.04674983024597168,6697.152039527893,28.52499222755432,t3,7,0.5452233333333333
100M,lmi,997.249121427536,1908.862194776535,0.04674983024597168,6697.152039527893,90.96605467796326,t3,25,0.56689
100M,lmi,997.249121427536,1908.862194776535,0.04674983024597168,6697.152039527893,77.65062546730042,t3,21,0.56516
100M,lmi,997.249121427536,1908.862194776535,0.04674983024597168,6697.152039527893,94.07162117958069,t3,26,0.56714
100M,lmi,997.249121427536,1908.862194776535,0.04674983024597168,6697.152039527893,109.76739978790283,t3,30,0.5683266666666666
100M,lmi,997.249121427536,1908.862194776535,0.04674983024597168,6697.152039527893,43.913161277770996,t3,11,0.5558933333333334
100M,lmi,997.249121427536,1908.862194776535,0.04674983024597168,6697.152039527893,20.678050756454468,t3,5,0.5331333333333333
100M,lmi,997.249121427536,1908.862194776535,0.04674983024597168,6697.152039527893,9.608058214187622,t3,2,0.47386
100M,lmi,997.249121427536,1908.862194776535,0.04674983024597168,6697.152039527893,105.78897500038147,t3,29,0.5680533333333333
100M,lmi,997.249121427536,1908.862194776535,0.04674983024597168,6697.152039527893,5.282415151596069,t3,1,0.3946266666666667
100M,lmi,997.249121427536,1908.862194776535,0.04674983024597168,6697.152039527893,105.08235287666321,t3,28,0.56771
100M,lmi,997.249121427536,1908.862194776535,0.04674983024597168,6697.152039527893,17.31864595413208,t3,4,0.52248
100M,lmi,0.0,0.0,0.0,2922.553389310837,237.457200050354,t1,18,0.9406033333333333
100M,lmi,0.0,0.0,0.0,2922.553389310837,41.96216344833374,t1,3,0.77312
100M,lmi,0.0,0.0,0.0,2922.553389310837,198.14205837249756,t1,15,0.9319233333333333
100M,lmi,0.0,0.0,0.0,2922.553389310837,319.52106499671936,t1,25,0.9546066666666667
100M,lmi,0.0,0.0,0.0,2922.553389310837,68.98557472229004,t1,5,0.84147
100M,lmi,0.0,0.0,0.0,2922.553389310837,15.002164125442505,t1,1,0.55071
100M,lmi,0.0,0.0,0.0,2922.553389310837,252.5349543094635,t1,19,0.94313
100M,lmi,0.0,0.0,0.0,2922.553389310837,169.9210958480835,t1,13,0.92369
100M,lmi,0.0,0.0,0.0,2922.553389310837,307.68237829208374,t1,24,0.9531233333333333
100M,lmi,0.0,0.0,0.0,2922.553389310837,224.5801646709442,t1,17,0.9381
100M,lmi,0.0,0.0,0.0,2922.553389310837,90.66774725914001,t1,7,0.8769466666666667
100M,lmi,0.0,0.0,0.0,2922.553389310837,339.0939202308655,t1,26,0.9560733333333333
100M,lmi,0.0,0.0,0.0,2922.553389310837,81.73400092124939,t1,6,0.8609433333333333
100M,lmi,0.0,0.0,0.0,2922.553389310837,373.58902406692505,t1,29,0.9598466666666666
100M,lmi,0.0,0.0,0.0,2922.553389310837,182.933087348938,t1,14,0.9280733333333333
100M,lmi,0.0,0.0,0.0,2922.553389310837,395.3832058906555,t1,30,0.96112
100M,lmi,0.0,0.0,0.0,16616.712553024292,3187.4258539676666,t1-gpu,1,0.5501866666666667
100M,lmi,0.0,0.0,0.0,2922.553389310837,146.21464085578918,t1,11,0.9132633333333333
100M,lmi,0.0,0.0,0.0,2922.553389310837,129.89378905296326,t1,10,0.9061566666666667
100M,lmi,0.0,0.0,0.0,2922.553389310837,297.62899518013,t1,23,0.9513433333333333
100M,lmi,0.0,0.0,0.0,8454.55774974823,85.70747447013855,t1-gpu-base,1,0.55071
100M,lmi,0.0,0.0,0.0,2922.553389310837,355.914320230484,t1,27,0.95738
100M,lmi,0.0,0.0,0.0,2922.553389310837,115.98513293266296,t1,9,0.89874
100M,lmi,0.0,0.0,0.0,2922.553389310837,28.13639497756958,t1,2,0.7011033333333333
100M,lmi,0.0,0.0,0.0,2922.553389310837,268.27850794792175,t1,21,0.9476333333333333
100M,lmi,0.0,0.0,0.0,2922.553389310837,54.3749623298645,t1,4,0.8130066666666667
100M,lmi,0.0,0.0,0.0,2922.553389310837,205.92705416679382,t1,16,0.93532
100M,lmi,0.0,0.0,0.0,2922.553389310837,275.5701959133148,t1,22,0.9495666666666667
100M,lmi,0.0,0.0,0.0,2922.553389310837,265.56370735168457,t1,20,0.9454133333333333
100M,lmi,0.0,0.0,0.0,2922.553389310837,107.36000967025757,t1,8,0.88848
100M,lmi,0.0,0.0,0.0,2922.553389310837,358.05920696258545,t1,28,0.9586966666666666
100M,lmi,0.0,0.0,0.0,2922.553389310837,156.35914492607117,t1,12,0.9189
100M,lmi,646.4764623641968,569.5762419700623,0.07920050621032715,8525.07392501831,219.4640407562256,t2,1,0.52225
100M,lmi,646.4764623641968,569.5762419700623,0.07920050621032715,8525.07392501831,219.14476537704468,t2,15,0.7890866666666667
100M,lmi,646.4764623641968,569.5762419700623,0.07920050621032715,8525.07392501831,227.9352104663849,t2,20,0.79387
100M,lmi,646.4764623641968,569.5762419700623,0.07920050621032715,8525.07392501831,241.85538816452026,t2,25,0.7968166666666666
100M,lmi,684.5147910118103,749.2495403289795,0.0168302059173584,10988.216173171997,310.5645041465759,t2,40,0.8001366666666667
100M,lmi,646.4764623641968,569.5762419700623,0.07920050621032715,8525.07392501831,258.8354299068451,t2,30,0.7984666666666667
100M,lmi,646.4764623641968,569.5762419700623,0.07920050621032715,8525.07392501831,220.00512385368347,t2,5,0.7436533333333334
100M,lmi,646.4764623641968,569.5762419700623,0.07920050621032715,8525.07392501831,220.37201976776123,t2,10,0.7786166666666666
100M,lmi,684.5147910118103,749.2495403289795,0.0168302059173584,10988.216173171997,298.2424862384796,t2,35,0.7993033333333334

