size,model,a,b,c,buildtime,searchtime,info,recall
10M,lmi,0.0,0.0,0.0,785.0007853507996,52.02158546447754,t1-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=14,0.93519
10M,lmi,0.0,0.0,0.0,785.0007853507996,79.10166645050049,t1-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=21,0.9552733333333333
10M,lmi,0.0,0.0,0.0,785.0007853507996,25.13176727294922,t1-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=6,0.86867
10M,lmi,0.0,0.0,0.0,785.0007853507996,62.198957204818726,t1-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=16,0.9422366666666666
10M,lmi,0.0,0.0,0.0,785.0007853507996,9.220863103866577,t1-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=2,0.7067533333333333
10M,lmi,0.0,0.0,0.0,785.0007853507996,111.2911434173584,t1-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=29,0.96712
10M,lmi,0.0,0.0,0.0,785.0007853507996,41.01964068412781,t1-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=10,0.91317
10M,lmi,0.0,0.0,0.0,785.0007853507996,47.57661771774292,t1-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=12,0.92575
10M,lmi,0.0,0.0,0.0,785.0007853507996,102.49743056297302,t1-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=26,0.9635533333333334
10M,lmi,0.0,0.0,0.0,785.0007853507996,59.34530234336853,t1-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=15,0.93884
10M,lmi,0.0,0.0,0.0,785.0007853507996,87.55741214752197,t1-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=23,0.9590066666666667
10M,lmi,0.0,0.0,0.0,908.9863183498383,20.15272569656372,t1-profile-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=2,0.7067533333333333
10M,lmi,0.0,0.0,0.0,785.0007853507996,51.00830006599426,t1-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=13,0.9304866666666667
10M,lmi,0.0,0.0,0.0,785.0007853507996,4.386010646820068,t1-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=1,0.5539133333333334
10M,lmi,0.0,0.0,0.0,785.0007853507996,85.59943890571594,t1-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=22,0.95724
10M,lmi,0.0,0.0,0.0,785.0007853507996,64.05371189117432,t1-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=17,0.9456233333333334
10M,lmi,0.0,0.0,0.0,785.0007853507996,20.047609090805054,t1-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=5,0.8476066666666666
10M,lmi,0.0,0.0,0.0,785.0007853507996,105.50910067558289,t1-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=27,0.9647833333333333
10M,lmi,0.0,0.0,0.0,785.0007853507996,73.62418580055237,t1-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=19,0.95109
10M,lmi,0.0,0.0,0.0,785.0007853507996,38.285338163375854,t1-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=9,0.90557
10M,lmi,0.0,0.0,0.0,785.0007853507996,28.423003435134888,t1-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=7,0.8837933333333333
10M,lmi,0.0,0.0,0.0,785.0007853507996,13.229671478271484,t1-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=3,0.7778533333333333
10M,lmi,0.0,0.0,0.0,908.9863183498383,38.15539813041687,t1-profile-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=5,0.8476066666666666
10M,lmi,0.0,0.0,0.0,785.0007853507996,71.11888837814331,t1-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=18,0.9483633333333333
10M,lmi,0.0,0.0,0.0,785.0007853507996,42.137341260910034,t1-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=11,0.9201766666666666
10M,lmi,0.0,0.0,0.0,785.0007853507996,78.58223843574524,t1-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=20,0.9533366666666667
10M,lmi,0.0,0.0,0.0,785.0007853507996,93.05246758460999,t1-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=24,0.9608766666666667
10M,lmi,0.0,0.0,0.0,908.9863183498383,31.04429006576538,t1-profile-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=4,0.8197733333333334
10M,lmi,0.0,0.0,0.0,908.9863183498383,25.13279151916504,t1-profile-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=3,0.7778533333333333
10M,lmi,0.0,0.0,0.0,785.0007853507996,93.86398434638977,t1-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=25,0.96217
10M,lmi,0.0,0.0,0.0,785.0007853507996,112.01210570335388,t1-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=30,0.9681033333333333
10M,lmi,0.0,0.0,0.0,785.0007853507996,35.456456899642944,t1-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=8,0.8956366666666666
10M,lmi,0.0,0.0,0.0,785.0007853507996,109.98954963684082,t1-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-nprobe=28,0.9661133333333334
10M,lmi,0.0,0.0,0.0,785.0007853507996,17.054224491119385,t1-10M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=1000000-probe=4,0.8197733333333334
